Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.2796e-04,-0.444,-0.448,0.0016,0.0128
-1.2758e-04,-0.444,-0.436,0.0016,-0.0016
-1.2720e-04,-0.444,-0.448,0.0024,0.0064
-1.2681e-04,-0.444,-0.436,0.0032,-0.0048
-1.2643e-04,-0.444,-0.448,0.0032,0.0096
-1.2604e-04,-0.444,-0.436,0.0032,-0.0024
-1.2566e-04,-0.444,-0.448,0.004,0.008
-1.2527e-04,-0.444,-0.436,0.004,0.0016
-1.2489e-04,-0.444,-0.448,0.004,0.0072
-1.2451e-04,-0.444,-0.436,0.004,-0.0016
-1.2412e-04,-0.444,-0.448,0.004,0.0112
-1.2374e-04,-0.444,-0.44,0.0032,-0.000800001
-1.2335e-04,-0.444,-0.448,0.0024,0.0072
-1.2297e-04,-0.444,-0.44,0.0024,-0.0016
-1.2259e-04,-0.444,-0.448,0.0016,0.008
-1.2220e-04,-0.444,-0.44,0.000799999,-0.0024
-1.2182e-04,-0.444,-0.448,-5.72205e-10,0.0056
-1.2143e-04,-0.444,-0.436,-0.000800001,-0.012
-1.2105e-04,-0.444,-0.448,-0.0016,0.0152
-1.2067e-04,-0.444,-0.436,-0.0024,-0.0136
-1.2028e-04,-0.444,-0.448,-0.0032,0.0168
-1.1990e-04,-0.444,-0.436,-0.0048,-0.0096
-1.1951e-04,-0.444,-0.448,-0.0056,0.000799999
-1.1913e-04,-0.444,-0.436,-0.0056,-0.0112
-1.1875e-04,-0.444,-0.448,-0.0056,-0.000800001
-1.1836e-04,-0.444,-0.436,-0.0056,-0.0136
-1.1798e-04,-0.444,-0.448,-0.0048,0.0056
-1.1759e-04,-0.444,-0.44,-0.004,-0.0104
-1.1721e-04,-0.444,-0.448,-0.0032,0.0024
-1.1683e-04,-0.444,-0.436,-0.0032,-0.0072
-1.1644e-04,-0.444,-0.448,-0.0024,0.000799999
-1.1606e-04,-0.444,-0.44,-0.0024,-0.0048
-1.1567e-04,-0.444,-0.448,-0.0016,-5.72205e-10
-1.1529e-04,-0.444,-0.436,-0.000800001,-0.0064
-1.1491e-04,-0.444,-0.448,-5.72205e-10,0.0032
-1.1452e-04,-0.444,-0.436,0.000799999,-0.004
-1.1414e-04,-0.444,-0.448,0.000799999,0.0048
-1.1375e-04,-0.444,-0.44,0.0016,-0.0016
-1.1337e-04,-0.444,-0.448,0.0016,0.004
-1.1299e-04,-0.444,-0.44,0.0024,-0.0024
-1.1260e-04,-0.444,-0.448,0.0024,0.0096
-1.1222e-04,-0.444,-0.44,0.0032,-5.72205e-10
-1.1183e-04,-0.444,-0.448,0.004,0.0064
-1.1145e-04,-0.444,-0.436,0.004,-0.0032
-1.1107e-04,-0.444,-0.448,0.0048,0.0104
-1.1068e-04,-0.444,-0.436,0.004,-5.72205e-10
-1.1030e-04,-0.444,-0.448,0.0032,0.0072
-1.0991e-04,-0.444,-0.436,0.0024,-0.0032
-1.0953e-04,-0.444,-0.448,0.0016,0.0088
-1.0915e-04,-0.444,-0.44,0.0016,-0.004
-1.0876e-04,-0.444,-0.448,0.0016,0.0064
-1.0838e-04,-0.444,-0.436,0.0016,-0.004
-1.0799e-04,-0.444,-0.448,0.000799999,0.012
-1.0761e-04,-0.444,-0.436,-5.72205e-10,-0.004
-1.0723e-04,-0.444,-0.448,-0.000800001,0.0032
-1.0684e-04,-0.444,-0.436,-0.0016,-0.008
-1.0646e-04,-0.444,-0.448,-0.0024,0.004
-1.0607e-04,-0.444,-0.44,-0.0032,-0.0104
-1.0569e-04,-0.444,-0.448,-0.004,0.0024
-1.0531e-04,-0.444,-0.44,-0.004,-0.0064
-1.0492e-04,-0.444,-0.448,-0.004,-0.000800001
-1.0454e-04,-0.444,-0.436,-0.0048,-0.008
-1.0415e-04,-0.444,-0.448,-0.0048,-0.0024
-1.0377e-04,-0.444,-0.44,-0.004,-0.0088
-1.0339e-04,-0.444,-0.448,-0.004,0.0016
-1.0300e-04,-0.444,-0.44,-0.004,-0.0088
-1.0262e-04,-0.444,-0.448,-0.004,0.0016
-1.0223e-04,-0.444,-0.44,-0.004,-0.0064
-1.0185e-04,-0.444,-0.448,-0.0032,-0.0016
-1.0147e-04,-0.444,-0.436,-0.0024,-0.0072
-1.0108e-04,-0.444,-0.448,-0.0016,0.004
-1.0070e-04,-0.444,-0.436,-5.72205e-10,-0.004
-1.0031e-04,-0.444,-0.448,-5.72205e-10,0.0024
-9.9929e-05,-0.444,-0.436,-5.72205e-10,-0.0064
-9.9545e-05,-0.444,-0.448,-5.72205e-10,0.0064
-9.9161e-05,-0.444,-0.436,0.000799999,-0.0048
-9.8777e-05,-0.444,-0.448,0.0024,0.0048
-9.8393e-05,-0.444,-0.436,0.004,-0.0024
-9.8009e-05,-0.444,-0.448,0.0048,0.0152
-9.7625e-05,-0.444,-0.436,0.0056,0.0024
-9.7241e-05,-0.444,-0.448,0.0064,0.0112
-9.6857e-05,-0.444,-0.436,0.0056,0.000799999
-9.6473e-05,-0.444,-0.448,0.004,0.0112
-9.6089e-05,-0.444,-0.44,0.0032,-5.72205e-10
-9.5705e-05,-0.444,-0.448,0.0032,0.0064
-9.5321e-05,-0.444,-0.436,0.0024,-0.000800001
-9.4937e-05,-0.444,-0.448,0.0016,0.008
-9.4553e-05,-0.444,-0.436,0.0016,-0.004
-9.4169e-05,-0.444,-0.448,0.000799999,0.0056
-9.3785e-05,-0.444,-0.436,-5.72205e-10,-0.0032
-9.3401e-05,-0.444,-0.448,-0.0016,0.0032
-9.3017e-05,-0.444,-0.436,-0.0032,-0.0056
-9.2633e-05,-0.444,-0.448,-0.004,-0.000800001
-9.2249e-05,-0.444,-0.44,-0.004,-0.0104
-9.1865e-05,-0.444,-0.448,-0.0048,0.0016
-9.1481e-05,-0.444,-0.436,-0.0056,-0.0104
-9.1097e-05,-0.444,-0.448,-0.0064,-0.000800001
-9.0713e-05,-0.444,-0.44,-0.0064,-0.0112
-9.0329e-05,-0.444,-0.448,-0.0072,-0.0032
-8.9945e-05,-0.444,-0.44,-0.0072,-0.0144
-8.9561e-05,-0.444,-0.448,-0.0072,-0.0024
-8.9177e-05,-0.444,-0.436,-0.0072,-0.012
-8.8793e-05,-0.444,-0.448,-0.0056,-0.004
-8.8409e-05,-0.444,-0.44,-0.0032,-0.0112
-8.8025e-05,-0.444,-0.448,-0.0016,0.0056
-8.7641e-05,-0.444,-0.44,-0.000800001,-0.004
-8.7257e-05,-0.444,-0.448,-0.000800001,0.0016
-8.6873e-05,-0.444,-0.436,-5.72205e-10,-0.004
-8.6488e-05,-0.444,-0.448,0.000799999,0.0064
-8.6104e-05,-0.444,-0.44,0.0016,-0.0016
-8.5720e-05,-0.444,-0.448,0.0024,0.008
-8.5336e-05,-0.444,-0.436,0.0032,-0.0032
-8.4952e-05,-0.444,-0.448,0.0032,0.0096
-8.4568e-05,-0.444,-0.436,0.0032,-0.0136
-8.4184e-05,-0.444,-0.448,0.004,0.024
-8.3800e-05,-0.444,-0.436,0.0048,-0.0264
-8.3416e-05,-0.444,-0.448,0.004,0.0256
-8.3032e-05,-0.444,-0.436,0.004,-0.0104
-8.2648e-05,-0.444,-0.448,0.0032,0.0208
-8.2264e-05,-0.444,-0.44,0.0024,-0.008
-8.1880e-05,-0.444,-0.448,0.0024,0.0136
-8.1496e-05,-0.444,-0.436,0.0016,-0.0056
-8.1112e-05,-0.444,-0.448,0.0016,0.0088
-8.0728e-05,-0.444,-0.436,0.000799999,-0.0152
-8.0344e-05,-0.444,-0.448,0.000799999,0.0168
-7.9960e-05,-0.444,-0.436,-5.72205e-10,-0.0072
-7.9576e-05,-0.44,-0.444,-0.000800001,0.0072
-7.9192e-05,-0.44,-0.436,-0.0024,-0.0088
-7.8808e-05,-0.444,-0.448,-0.0024,0.0032
-7.8424e-05,-0.444,-0.436,-0.0024,-0.0112
-7.8040e-05,-0.444,-0.448,-0.0032,0.008
